Distance (µm),Raw_data,Fitted_data
0,-53,-19.784716216859
0.105462968349457,-13,-19.784716216859
0.210925936698914,6,-19.784716216859
0.31638890504837,-21,-19.784716216859
0.421851873397827,39,-19.7847162168589
0.527314841747284,18,-19.7847162168582
0.632777810096741,-30,-19.7847162168415
0.738240778446198,-50,-19.7847162165349
0.843703746795654,-24,-19.7847162116328
0.949166715145111,-33,-19.7847161437401
1.05462968349457,-44,-19.7847153294253
1.16009265184402,-13,-19.7847068734651
1.26555562019348,-28,-19.7846308801671
1.37101858854294,-28,-19.7840400882302
1.4764815568924,-49,-19.7800690825598
1.58194452524185,-56,-19.7570083241232
1.68740749359131,-34,-19.6414036918198
1.79287046194077,-52,-19.14169222936
1.89833343029022,-3,-17.2818791596213
2.00379639863968,-31,-11.3338669614582
2.10925936698914,15,4.96843581859013
2.21472233533859,91,43.1112857036789
2.32018530368805,154,118.851898864128
2.42564827203751,219,245.306433502624
2.53111124038696,427,419.933935091367
2.63657420873642,685,612.943091731357
2.74203717708588,696,770.022927375185
2.84750014543533,744,835.455508741571
2.95296311378479,854,783.588376315
3.05842608213425,705,634.864753591356
3.1638890504837,462,442.98266043479
3.26935201883316,224,263.993481416063
3.37481498718262,86,131.173825861792
3.48027795553207,-21,49.8777324005848
3.58574092388153,-28,8.10230676829931
3.69120389223099,-27,-10.1004225713364
3.79666686058044,-26,-16.8673152634337
3.9021298289299,-27,-19.0223095811962
4.00759279727936,-6,-19.611878074228
4.11305576562882,21,-19.7507259253124
4.21851873397827,9,-19.7789174911693
4.32398170232773,72,-19.7838580482666
4.42944467067719,80,-19.7846060438925
4.53490763902664,62,-19.7847039469922
4.6403706073761,58,-19.7847150314532
4.74583357572556,20,-19.7847161175116
4.85129654407501,-29,-19.7847162096361
4.95675951242447,-49,-19.7847162164034
5.06222248077393,-25,-19.784716216834
5.16768544912338,-36,-19.7847162168578
5.27314841747284,-42,-19.7847162168589
5.3786113858223,-57,-19.784716216859
5.48407435417175,-28,-19.784716216859
5.58953732252121,-41,-19.784716216859
5.69500029087067,-48,-19.784716216859
5.80046325922012,-31,-19.784716216859
5.90592622756958,-32,-19.784716216859
6.01138919591904,-52,-19.784716216859
6.11685216426849,-60,-19.784716216859
