Distance (µm),Raw_data,Fitted_data
0,-13,-1.47867228564311
0.105462971370705,-29,-1.47867228564311
0.210925942741411,-2,-1.47867228564311
0.316388914112116,-6,-1.47867228564311
0.421851885482822,-20,-1.47867228564311
0.527314856853527,-27,-1.47867228564311
0.632777828224232,8,-1.47867228564311
0.738240799594938,-26,-1.47867228564311
0.843703770965643,0,-1.47867228564311
0.949166742336348,-29,-1.47867228564311
1.05462971370705,9,-1.47867228564311
1.16009268507776,-8,-1.4786722856431
1.26555565644847,-22,-1.47867228564292
1.37101862781917,2,-1.47867228563878
1.47648159918988,25,-1.47867228555748
1.58194457056058,26,-1.47867228417451
1.68740754193129,21,-1.47867226380746
1.79287051330199,81,-1.47867200418511
1.8983334846727,13,-1.47866914047123
2.0037964560434,-1,-1.47864181662378
2.10925942741411,16,-1.47841639413409
2.21472239878481,25,-1.47680918386348
2.32018537015552,-9,-1.46691246786924
2.42564834152622,-10,-1.41432238070141
2.53111131289693,-8,-1.17340621717801
2.63657428426764,29,-0.223242398737874
2.74203725563834,40,2.99732381303661
2.84750022700905,65,12.3560434960008
2.95296319837975,113,35.5923096525656
3.05842616975046,100,84.6368112053806
3.16388914112116,195,171.946328387169
3.26935211249187,380,301.300133424898
3.37481508386257,283,456.7925061671
3.48027805523328,615,599.837554363504
3.58574102660398,770,682.537876102513
3.69120399797469,639,673.07047876767
3.79666696934539,558,575.213288805892
3.9021299407161,475,425.943946763195
4.00759291208681,254,273.155396344801
4.11305588345751,143,151.501317228295
4.21851885482822,49,72.3964391295289
4.32398182619892,-30,29.4488392155739
4.42944479756963,-6,9.74603724839968
4.53490776894033,3,2.05306631374361
4.64037074031104,-4,-0.515319630826053
4.74583371168174,-1,-1.25086618445535
4.85129668305245,1,-1.43197101356982
4.95675965442315,5,-1.4703723375695
5.06222262579386,-20,-1.47739347763699
5.16768559716456,-13,-1.47850147354629
5.27314856853527,-10,-1.47865250614773
5.37861153990598,-5,-1.47867030002787
5.48407451127668,-11,-1.47867211283732
5.58953748264739,-31,-1.47867227260529
5.69500045401809,-32,-1.47867228479033
5.8004634253888,-28,-1.47867228559475
5.9059263967595,-22,-1.47867228564073
6.01138936813021,-20,-1.47867228564301
6.11685233950091,3,-1.4786722856431
6.22231531087162,-17,-1.47867228564311
6.32777828224232,23,-1.47867228564311
6.43324125361303,-8,-1.47867228564311
6.53870422498374,6,-1.47867228564311
6.64416719635444,1,-1.47867228564311
6.74963016772515,-22,-1.47867228564311
6.85509313909585,2,-1.47867228564311
6.96055611046656,11,-1.47867228564311
7.06601908183726,11,-1.47867228564311
7.17148205320797,-22,-1.47867228564311
