Distance (µm),Raw_data,Fitted_data
0,32800,32828.7444
1,32804,32828.75385
2,32783,32828.79248
3,32804,32828.93501
4,32855,32829.40883
5,32829,32830.82713
6,32904,32834.64508
7,32907,32843.87389
8,32962,32863.86456
9,32970,32902.55991
10,33003,32969.22404
11,33117,33070.82472
12,33218,33206.48016
13,33236,33362.44801
14,33476,33511.54827
15,33584,33619.7431
16,33804,33658.47979
17,33568,33616.85565
18,33587,33506.57237
19,33353,33356.62464
20,33094,33200.99475
21,33036,33066.43839
22,32892,32966.1751
23,33049,32900.69419
24,32879,32862.85188
25,32914,32843.38394
26,32865,32834.4331
27,32813,32830.74491
28,32820,32829.38019
29,32775,32828.92604
30,32816,32828.78995
31,32788,32828.75321
32,32763,32828.74426
33,32784,32828.74229
34,32755,32828.7419
