Distance (µm),Raw_data,Fitted_data
0,32819,32797.83082
1,32800,32801.63425
2,32792,32806.90563
3,32810,32814.08836
4,32807,32823.70889
5,32842,32836.37297
6,32864,32852.75325
7,32851,32873.5663
8,32874,32899.53756
9,32901,32931.3537
10,32913,32969.60331
11,33094,33014.70827
12,33035,33066.85048
13,33071,33125.89969
14,33213,33191.35047
15,33335,33262.2763
16,33301,33337.30917
17,33276,33414.65157
18,33574,33492.12535
19,33634,33567.25856
20,33750,33637.40714
21,33581,33699.90432
22,33734,33752.22635
23,33917,33792.16059
24,33799,33817.96042
25,33789,33828.47181
26,33806,33823.21899
27,33801,33802.44012
28,33751,33767.0694
29,33697,33718.66741
30,33631,33659.30695
31,33532,33591.42602
32,33549,33517.6624
33,33362,33440.68546
34,33436,33363.03986
35,33344,33287.01361
36,33329,33214.53895
37,33228,33147.13073
38,33001,33085.86246
39,32982,33031.37652
40,33002,32983.92235
41,32938,32943.41482
42,32878,32909.50411
43,32825,32881.64944
44,32880,32859.18985
45,32802,32841.40695
46,32814,32827.57668
47,32833,32817.00855
48,32777,32809.07257
49,32824,32803.21492
50,32817,32798.96444
51,32823,32795.93189
52,32853,32793.80427
53,32801,32792.33621
54,32801,32791.33988
55,32765,32790.67474
56,32808,32790.23792
57,32777,32789.95568
58,32811,32789.77626
59,32802,32789.66403
