Distance (µm),Raw_data,Fitted_data
0,32731,32765.17747
1,32706,32766.57156
2,32721,32768.5493
3,32744,32771.30731
4,32771,32775.08751
5,32805,32780.1791
6,32765,32786.91708
7,32770,32795.67606
8,32778,32806.85799
9,32864,32820.87305
10,32844,32838.11326
11,32804,32858.91906
12,32919,32883.5405
13,32863,32912.09515
14,33017,32944.52643
15,32945,32980.56673
16,32925,33019.71006
17,32999,33061.19921
18,33184,33104.03141
19,33208,33146.98535
20,33129,33188.67014
21,33267,33227.59477
22,33395,33262.2536
23,33259,33291.22157
24,33175,33313.25086
25,33274,33327.3598
26,33538,33332.90543
27,33370,33329.63205
28,33332,33317.6908
29,33142,33297.62804
30,33222,33270.34396
31,33276,33237.02559
32,33273,33199.06125
33,33057,33157.94508
34,33065,33115.18062
35,33112,33072.19201
36,33036,33030.25
37,32971,32990.41734
38,32962,32953.51611
39,32926,32920.11672
40,32972,32890.54629
41,32857,32864.91275
42,32848,32843.13965
43,32803,32825.00714
44,32892,32810.19422
45,32827,32798.31878
46,32782,32788.97251
47,32797,32781.74919
48,32783,32776.26573
49,32805,32772.17604
50,32784,32769.17878
51,32781,32767.01988
52,32752,32765.49135
53,32761,32764.42742
54,32753,32763.69932
55,32777,32763.20936
56,32780,32762.88513
57,32771,32762.67411
58,32763,32762.53904
59,32784,32762.45399
