Distance (µm),Raw_data,Fitted_data
0,32877,32853.68375
1,32855,32853.85893
2,32863,32854.32959
3,32896,32855.50619
4,32929,32858.24106
5,32864,32864.14691
6,32944,32875.98352
7,32904,32897.9722
8,32998,32935.76861
9,33159,32995.74329
10,33067,33083.30887
11,33208,33200.38688
12,33269,33342.68262
13,33467,33497.97255
14,33461,33646.69893
15,33836,33765.51293
16,33926,33833.12412
17,33953,33836.50759
18,33857,33774.99537
19,33552,33660.49147
20,33381,33513.71547
21,33255,33358.09893
22,33225,33213.79349
23,33289,33093.84049
24,33020,33003.28912
25,32974,32940.72957
26,32918,32900.97696
27,32837,32877.66484
28,32855,32865.01783
29,32814,32858.65931
30,32827,32855.69264
31,32814,32854.40681
32,32828,32853.88866
33,32830,32853.69441
34,32802,32853.62661
35,32820,32853.60458
36,32804,32853.59791
37,32821,32853.59603
38,32824,32853.59553
39,32829,32853.59541
