Distance (µm),Raw_data,Fitted_data
0,32818,32821.49557
1,32814,32845.44156
2,32813,32891.13408
3,32879,32968.35412
4,33025,33083.12396
5,33208,33231.40228
6,33380,33394.39729
7,33761,33539.91163
8,33541,33631.80475
9,33814,33644.36925
10,33448,33573.93589
11,33197,33440.60151
12,33291,33278.977
13,33262,33123.73175
14,33083,32998.09613
15,33001,32910.14723
16,32881,32856.15322
17,32894,32826.84604
18,32865,32812.70893
19,32835,32806.62724
20,32819,32804.28817
21,32824,32803.48241
22,32802,32803.23346
23,32802,32803.1644
24,32791,32803.14718
25,32769,32803.14333
26,32790,32803.14255
27,32787,32803.14241
28,32797,32803.14238
29,32797,32803.14238
30,32786,32803.14238
31,32773,32803.14238
32,32786,32803.14238
33,32796,32803.14238
34,32799,32803.14238
