Distance (µm),Raw_data,Fitted_data
0,51,15.6287775858054
0.105462968349457,19,15.6287775858054
0.210925936698914,45,15.6287775858054
0.31638890504837,41,15.6287775858054
0.421851873397827,2,15.6287775858054
0.527314841747284,30,15.6287775858054
0.632777810096741,60,15.6287775858054
0.738240778446198,39,15.6287775858056
0.843703746795654,24,15.6287775858211
0.949166715145111,-1,15.6287775867354
1.05462968349457,13,15.6287776272785
1.16009265184402,42,15.6287789840121
1.26555562019348,33,15.6288132234658
1.37101858854294,6,15.6294643063652
1.4764815568924,-10,15.6387818232477
1.58194452524185,29,15.7389622133575
1.68740749359131,28,16.5462459574777
1.79287046194077,14,21.4043398668412
1.89833343029022,18,43.1159785535384
2.00379639863968,187,114.529585731787
2.10925936698914,243,284.65972395266
2.21472233533859,552,568.899532566942
2.32018530368805,966,875.842302191317
2.42564827203751,878,1026.76086946958
2.53111124038696,1046,914.179502572665
2.63657420873642,575,619.313770396413
2.74203717708588,307,322.256372733646
2.84750014543533,136,133.374508624846
2.95296311378479,42,49.8119354204169
3.05842608213425,14,23.1313857711218
3.1638890504837,4,16.8737090092201
3.26935201883316,9,15.7849526410006
3.37481498718262,-16,15.6435894930395
3.48027795553207,-9,15.6298396319216
3.58574092388153,0,15.6288351574775
3.69120389223099,-10,15.6287799452369
3.79666686058044,-6,15.628777658909
3.9021298289299,3,15.6287775875178
4.00759279727936,30,15.6287775858357
4.11305576562882,24,15.6287775858058
4.21851873397827,5,15.6287775858054
4.32398170232773,-2,15.6287775858054
4.42944467067719,16,15.6287775858054
4.53490763902664,34,15.6287775858054
4.6403706073761,0,15.6287775858054
4.74583357572556,-20,15.6287775858054
4.85129654407501,13,15.6287775858054
4.95675951242447,47,15.6287775858054
5.06222248077393,20,15.6287775858054
5.16768544912338,7,15.6287775858054
